"Date","Open","High","Low","Close","Adj Close","Volume"
"Apr 17 2018",21801.83,21889.89,21772.42,21847.59,21847.59,57400
"Apr 16 2018",21843.55,21879.69,21775.61,21835.53,21835.53,53400
"Apr 13 2018",21801.41,21917.35,21746.69,21778.74,21778.74,73100
"Apr 12 2018",21657.87,21719.43,21591.39,21660.28,21660.28,58400
"Apr 11 2018",21819.09,21837.36,21687.10,21687.10,21687.10,69500
"Apr 10 2018",21599.67,21933.99,21542.37,21794.32,21794.32,74700
"Apr 09 2018",21534.33,21737.09,21517.77,21678.26,21678.26,62100
"Apr 06 2018",21633.73,21742.84,21550.42,21567.52,21567.52,74400
"Apr 05 2018",21541.18,21737.66,21462.10,21645.42,21645.42,80700
"Apr 04 2018",21415.85,21415.85,21238.18,21319.55,21319.55,75600
"Apr 03 2018",21115.48,21333.50,21056.02,21292.29,21292.29,63800
"Apr 02 2018",21441.57,21597.47,21388.58,21388.58,21388.58,47500
"Mar 30 2018",21392.42,21512.80,21311.50,21454.30,21454.30,63600
"Mar 29 2018",21250.96,21298.57,20996.22,21159.08,21159.08,78900
"Mar 28 2018",20893.05,21031.31,20776.82,21031.31,21031.31,88100
"Mar 27 2018",20958.90,21317.32,20943.31,21317.32,21317.32,101900
"Mar 26 2018",20423.37,20766.10,20347.49,20766.10,20766.10,97500
"Mar 23 2018",21188.80,21188.80,20559.61,20617.86,20617.86,121000
"Mar 22 2018",21352.16,21592.00,21349.71,21591.99,21591.99,82600
"Mar 21 2018",,,,,,
"Mar 20 2018",21297.98,21384.86,21223.97,21380.97,21380.97,66500
"Mar 19 2018",21537.90,21659.04,21366.88,21480.90,21480.90,67300
"Mar 16 2018",21876.53,21879.28,21632.85,21676.51,21676.51,75700
"Mar 15 2018",21704.14,21825.97,21555.49,21803.95,21803.95,65300
"Mar 14 2018",21764.99,21881.09,21684.02,21777.29,21777.29,65000
"Mar 13 2018",21742.45,21968.10,21700.78,21968.10,21968.10,68100
"Mar 12 2018",21826.10,21971.16,21689.97,21824.03,21824.03,70600
"Mar 09 2018",21594.22,21884.45,21357.55,21469.20,21469.20,110500
"Mar 08 2018",21488.16,21488.16,21299.40,21368.07,21368.07,72100
"Mar 07 2018",21261.96,21484.08,21201.94,21252.72,21252.72,87000
"Mar 06 2018",21390.20,21551.14,21381.42,21417.76,21417.76,76400
"Mar 05 2018",21047.81,21164.38,20937.26,21042.09,21042.09,87200
"Mar 02 2018",21339.98,21366.09,21088.96,21181.64,21181.64,97100
"Mar 01 2018",21901.13,21901.13,21645.22,21724.47,21724.47,90300
"Feb 28 2018",22292.53,22380.28,22068.24,22068.24,22068.24,88800
"Feb 27 2018",22391.67,22502.05,22325.07,22389.86,22389.86,74300
"Feb 26 2018",22134.64,22226.53,22040.87,22153.63,22153.63,64600
"Feb 23 2018",21789.72,21903.39,21741.63,21892.78,21892.78,64600
"Feb 22 2018",21789.88,21799.40,21626.85,21736.44,21736.44,77300
